Time,Error,Angle
32055,4.872656,11.23903
32155,5.217188,12.29516
32255,4.971094,13.27882
32355,3.15,13.82448
32457,2.017969,14.16996
32558,0.590625,14.21898
32660,0.3445313,14.27155
32762,-0.196875,14.20637
32864,-1.033594,13.95974
32965,-1.870313,13.54474
33067,-2.559375,12.99857
33171,-3.888281,12.15857
33274,-5.315625,11.02665
33378,-6.742969,9.609426
33481,-9.302343,7.629777
33581,-8.071875,6.064056
33678,-5.5125,5.085984
33779,-8.022655,3.374368
33878,-7.875,1.798313
33979,-8.564062,0.05350947
34077,-9.942188,-2.001732
34175,-10.28672,-4.080351
34272,-10.04062,-6.078268
34370,-10.53281,-8.20729
34467,-10.82813,-10.38854
34564,-10.53281,-12.48209
34659,-9.548437,-14.34297
34752,-8.564062,-16.0037
34847,-9.203907,-17.87152
34942,-8.613281,-19.56759
35037,-7.973438,-21.12915
35133,-6.792188,-22.42824
35229,-5.463282,-23.45243
35327,-6.004687,-24.67378
35424,-4.774219,-25.57155
35521,-5.709375,-26.75365
35619,-7.333593,-28.30004
35715,-5.758594,-29.3821
35813,-8.514843,-31.2099
35911,-8.416407,-32.89796
36008,-7.530469,-34.3626
36105,-7.924219,-35.96306
36202,-8.268749,-37.63458
36299,-7.678125,-39.14341
36396,-7.0875,-40.53103
36493,-6.742969,-41.86076
36591,-5.857031,-42.98935
36690,-4.282031,-43.76822
36789,-3.691406,-44.47343
36888,-3.691406,-45.20925
36988,-3.9375,-46.00797
37089,-4.478907,-46.92941
37191,-3.642188,-47.62133
37292,-3.592969,-48.33504
37395,-2.165625,-48.7029
37496,-1.624219,-48.99814
37599,-1.476563,-49.28467
37700,-0.590625,-49.3615
37802,-0.0,-49.33192
37905,0.5414063,-49.19688
38007,1.18125,-48.9296
38109,1.821094,-48.53404
38211,2.707031,-47.95008
38312,3.691406,-47.16396
38415,4.872656,-46.13225
38517,5.758594,-44.93651
38620,6.939844,-43.49164
38721,5.709375,-42.40207
38820,4.528125,-41.55501
38918,3.740625,-40.84845
39018,4.921875,-39.81194
39118,6.250781,-38.497
39217,6.841406,-37.09598
39316,8.022655,-35.43433
39414,6.989062,-34.08142
39513,6.595312,-32.78411
39611,7.776563,-31.1752
39711,8.268749,-29.49445
39811,9.450001,-27.54775
39912,9.745312,-25.581
40013,10.43438,-23.46151
40114,9.450001,-21.61469
40214,9.892969,-19.61893
40314,9.400782,-17.7605
40414,9.892969,-15.76071
40513,10.53281,-13.62266
40612,10.72969,-11.46518
40710,10.08984,-9.476537
40807,9.794531,-7.533769
40905,9.892969,-5.551709
41001,10.2375,-3.487373
41098,9.548437,-1.609235
41195,8.908594,0.1399209
41292,8.219532,1.748533
41389,8.6625,3.499636
41485,8.317968,5.148228
41582,7.628906,6.640046
41681,6.742969,7.944697
41781,5.315625,8.937828
41880,5.020312,9.923054
41979,4.774219,10.86487
42079,5.020312,11.87937
42178,4.528125,12.76297
42280,2.953125,13.27971
42381,2.067187,13.6471
42482,1.279687,13.86389
42584,0.39375,13.89913
42686,-0.1476563,13.84183
42787,-0.6890625,13.67739
42889,-1.476563,13.34399
42991,-2.264062,12.85296
43094,-3.396094,12.1195
43196,-4.774219,11.09867
43299,-6.004687,9.837549
43401,-8.071875,8.12482
43504,-7.973438,6.52749
43604,-4.429688,5.805485
43705,-5.561719,4.653166
43805,-7.432032,3.07719
43905,-8.268749,1.378086
44004,-9.00703,-0.4608562
44103,-9.696095,-2.43508
44201,-10.48359,-4.571589
44298,-10.48359,-6.671324
44396,-10.77891,-8.841402
44493,-10.43438,-10.91295
44588,-9.696095,-12.81513
44681,-9.154688,-14.61633
44776,-9.597656,-16.55508
44870,-8.810156,-18.28035
44966,-10.13906,-20.36927
45062,-8.367188,-21.96216
45158,-7.432032,-23.39693
45255,-6.398438,-24.62396
45352,-3.346875,-25.14254
45449,-4.429688,-26.06825
45547,-5.807813,-27.29783
45644,-6.69375,-28.6844
45741,-6.595312,-30.0024
45839,-8.317968,-31.7472
45936,-7.185938,-33.13662
46033,-7.235156,-34.58237
46131,-8.268749,-36.2848
46227,-7.530469,-37.75941
46324,-7.924219,-39.36078
46421,-7.185938,-40.76405
46519,-5.90625,-41.88237
46617,-5.955469,-43.07108
46716,-4.429688,-43.88552
46815,-4.528125,-44.79042
46915,-3.789844,-45.51415
47015,-4.232813,-46.3787
47115,-4.725,-47.34805
47217,-3.592969,-48.01693
47319,-3.199219,-48.63527
47421,-2.165625,-49.01984
47523,-1.771875,-49.35299
47625,-0.6890625,-49.43957
47727,-0.3445313,-49.48927
47830,0.1476563,-49.43618
47933,0.6398437,-49.28435
48035,1.328906,-48.9855
48138,2.067187,-48.5361
48240,3.051562,-47.87843
48342,3.9375,-47.04761
48445,5.069531,-45.97909
48547,6.250781,-44.67179
48650,7.382813,-43.13961
48750,5.561719,-42.10678
48849,3.986719,-41.38898
48948,4.380468,-40.50028
49048,5.610937,-39.32018
49146,6.447657,-37.98722
49245,7.284375,-36.488
49345,7.875,-34.88224
49443,7.333593,-33.43876
49541,6.496875,-32.18022
49640,7.628906,-30.60409
49740,8.564062,-28.84425
49840,9.203907,-26.97068
49942,9.351563,-25.09119
50042,9.253124,-23.24442
50144,9.450001,-21.34566
50244,9.597656,-19.41865
50345,9.991405,-17.40175
50445,9.696095,-15.47483
50544,10.72969,-13.28149
50642,10.97578,-11.07117
50739,9.351563,-9.277077
50836,9.450001,-7.388166
50933,10.53281,-5.230103
51030,9.84375,-3.290275
51128,9.597656,-1.384528
51224,8.859375,0.3511312
51322,8.564062,2.047288
51419,8.170313,3.661331
51517,7.628906,5.16006
51616,7.038281,6.537814
51714,6.841406,7.894667
51814,5.5125,8.934194
51913,5.463282,10.01993
52012,5.315625,11.07557
52112,5.315625,12.13814
52211,5.020312,13.12848
52312,3.199219,13.68297
52413,1.96875,14.01403
52514,0.8859375,14.13744
52616,0.6398437,14.25032
52718,0.1476563,14.25638
52819,-0.4429688,14.13897
52921,-1.279687,13.8429
53023,-2.214844,13.3545
53126,-3.100781,12.69077
53228,-4.528125,11.71771
53330,-6.004687,10.44475
53433,-7.727344,8.816484
53538,-9.203907,6.904511
53641,-9.400782,5.010378
53739,-7.185938,3.677642
53838,-6.890625,2.320893
53939,-8.268749,0.6048922
